author,n,match,gender,titles,ntit,birth,death,prefix1,prefix2
"Панюков, Владимир",142,ПанюковВ,m,"По таежным тропам; Рассказы зверолова; С. Ларин. Рассказы зверолова. АМУРСКИЕ ТИГРЫ. Трудная задача; Прыжок; На ловле тигров; Завет отца; Редкое событие. МЕДВЕЖЬИ ПОВАДКИ. Лесной поединок; В западне; Слепой зверь; «Пьяница»; Неожиданная добыча; Случай на пасеке; «Наездник»; Черно-бурый рыболов; На вышке; С перепуга; Защита от собак; Материнский героизм. НА МОРСКИХ ПОБЕРЕЖЬЯХ. Встреча с белыми медведями; Битва на море; Киты в океане; Крупная добыча; У мыса Лопатка; Собаки-рыболовы; У Авачинской сопки; Чукотские ветры; На буксире у моржа; Домик из мамонтовых костей; Рассказ Туруги; В гостях у чукчей; Внучка Нуата; Сраженье медведей; Золотая рыбка; За тюленями. СЛУЧАЙНЫЕ ВСТРЕЧИ. Красавец тайги; Первая охота; Необычное состязание; Морской хищник; Дорожный разбойник; Сохатый «агрессор»; Поединок с барсом; Цепной зверь; Волк на крючке; В лунную ночь; Котенок; На Теплом озере; Дикие коты и белки; В Саянских горах. РЕБЯТАМ О ЗВЕРЯТАХ. «Амур»; Тапка; Еремка; Забавный медвежонок; В тундре; Хитрая лисичка; Обиженная обезьяна; «Красный бантик»; Язык примерз; Рысь в живом уголке. ЗВЕРИ ЕДУТ В МОСКВУ. «Проучили»; Барс на самолете; Еноты-грабители; Беглянка; Тигр убежал. ЗА ЖЕЛЕЗНОЙ СЕТКОЙ. Опасная киносъемка; Тереза — Красавец; В зверинце. В МИРЕ ПЕРНАТЫХ. Орел и кабарга; Легкая ловля; Обжора; Утки-каменушки; Попугаи; Фазаны под коробом; Семья; Вл. Архангельский. Что это за книжка? МОИ МЕДВЕЖАТА. Тапка; Медвежонок в беде; Карусель; Белянка и Белячок. ВСТРЕЧИ С ТОПТЫГИНЫМ. Случай на пасеке; Как заснул злой Красавец; Медведь с белым носом; Поединок в тайге. ХОЗЯИН УССУРИЙСКОЙ ТАЙГИ; С РУЖЬЕМ И БЕЗ РУЖЬЯ. Беглянка; Красный Бантик; Рыболовный крючок; Росомаха, которую я не смог поймать",78,,,ПанюковВ,NA
"Панюшин, Николай",1,ПанюшинН,m,"Им было семнадцать",1,,,ПанюшинН,NA
"Панюшкин, Николай",1,ПанюшкинН,m,"Им было семнадцать",1,,,ПанюшкинН,NA
"Папанин, И.",1,ПапанинИД,m,"На полюсе",1,,,ПапанинИ,NA
"Папанин, И. Д.",7,ПапанинИД,m,"На полюсе",1,,,ПапанинИ,ПапанинИД
"Папанин, Иван",3,ПапанинИД,m,"На полюсе",1,,,ПапанинИ,NA
"Папаригопуло, Б.",1,ПапаригопулоБВ,-,Измаил,1,,,ПапаригопулоБ,NA
"Папаригопуло, Б. В.",1,ПапаригопулоБВ,-,"За баррикадой",1,,,ПапаригопулоБ,ПапаригопулоБВ
"Папаскири, Г.",1,ПапаскириГ,-,"На берегу моря",1,,,ПапаскириГ,NA
"Папендйк, Т. В.",5,ПапендйкТВ,-,"Лен и конопля; Наши культурные растения, их происхождение и особенности; Обновленная земля; Пчельник на лесной поляне; Сорные травы",5,,,ПапендйкТ,ПапендйкТВ
"Паперная, Э.",5,ПапернаяЭ,f,"Выставка богов; Живая пропажа; Картинки с текстом; Чьи это игрушки; 300 бидонов; Как построили город",5,,,ПапернаяЭ,NA
"Папикьян, Р. Т.",2,ПапикьянРТ,-,"Заповедник в степи; День в Аскании-Нова",2,,,ПапикьянР,ПапикьянРТ
"Папковский, К. В.",1,ПапковскийКВ,m,Пчеловод,1,,,ПапковскийК,ПапковскийКВ
"Папоров, Юрий",1,ПапоровЮ,m,"Тропами подводными",1,,,ПапоровЮ,NA
"Парамонов, А. Н.",1,ПарамоновАН,m,"Увлекательная работа",1,,,ПарамоновА,ПарамоновАН
"Парандовский, Ян.",1,ПарандовскийЯ,m,Мифология,1,,,ПарандовскийЯ,NA
"Паранук, М.",1,ПаранукМ,m,"Кто сильнее",1,,,ПаранукМ,NA
"Паранук, Мурат",18,ПаранукМ,m,"Кто сильнее; Бей-дубинка; Мамин лес; Мои подарки; Храбрая птичка; Чабаненок; Случай на улице; Бабкин счет; Кто сильней? Блоха и клоп (Адыг, сказки); Лягушка и Цапля; Лиса и Журавль (Адыг, сказка); Лиса и Медведь; Как Лисичка обед себе добыла (Адыг, сказка); Храбрая птичка (Адыг, сказка); Пионер; Огород юннатов; Дружба; Помощник; Дерево; Пшимафа",20,,,ПаранукМ,NA
"Парахневич, М.",1,ПарахневичМ,-,"Детство мое и твое",1,,,ПарахневичМ,NA
"Парве, Р.",46,ПарвеР,m,"Лето на Сиверской; Матросская шапка; Пионерам; Стихи для детей; В подполье; Маленький Джон; Пионерам. Пер. Е. Эткинда; Пионерский марш. Пер. М. Дудина; Первоклассникам.  Пер. Е. Эткинда — Рассказ о хорошем друге. Пер. М. Дудина; Тийт-дежурный. Пер. Е. Эткинда; Сочинение. Пер. Е. Эткинда; Друзья. Пер. Е. Эткинда; Лайне делится опытом. Пер. Л. То-ома; Мой брат. Пер. Л. Тоома; Солнце над Родиной. Пер. Л. Гинзбурга; На сборе пионеров, посвященном Октябрю. Пер. М. Дудина; Солнце над Родиной. Пер. Л. Гинзбург; Пионерам. Пер. Вс. Рождественский; Мой брат. Пер. Л. Тоом; Красный галстук. Пер. О. Высотская; Мальчик из города — героя. Пер. М. Дудин; О чем рассказывал капитан Ару. Пер. М. Дудин; Маленький Джон. Пер. Б. Ке-жун; Письмо. Пер. М. Дудин; Первоклассникам. Пер. Вс. Рождественский; Рассказ о хорошем друге. Пер. М. Дудин; Друзья. Пер. Е. Эткинд; Домой из школы. Пер. Ю. Яковлев; Быль про лентяя Пер. Л. Тоом; Тийт-де-журныя. Пер. Е. Эткинд; Юку. Пер. Л. Гинзбург; Охакас. Пер. Л. Тоом; Лайне делится опытом. Пер. Л. Тоом; О самолетах и пилотах. Пер. Вс. Рождественский; Вечер в лагере. Пер. К. Арсеньева; К читателям; Возвращение; Неожиданная встреча; Подслушанный телефонный разговор; 17 декабря 1918 года; Новые сапоги; Необычное убежище; За озером; В полутьме двора; Бдительность; Размолвка из-за обеда; Взгляд в будущее; На лесном хуторе; Утро бессмертия",49,,,ПарвеР,NA
"Парве, Ральф",34,ПарвеР,m,"Наша Родина.; Наши ребята; Маленький Джон; Наша Родина; Солнце над Родиной; Матросская шапка; Наша страна; Пионерский марш; Беседа о хорошем друге; Мальчик из города-героя; О чем рассказывал капитан Ару; Письмо; На сборе-пионеров, посвященном Октябрю; Солнце над Родиной. Перевел Л. Гинзбург; На сборе пионеров, посвященном Октябрю. Перевел М. Дудин; Рассказ о хорошем друге. Перевел М. Дудин; Мальчик из города-героя. Перевел М. Дудин; ■ Мой брат. Перевел Л. Тоом; Красный галстук. Перевела О. Высотская; О чем рассказывал капитан Ару. Перевел М. Дудин; Письмо. Перевел М. Дудин; ■ Мы катаемся на лыжах... Перевел Л. Гинзбург; Домой из школы. Перевел Ю. Яковлев; Юку. Перевел Л. Гинзбург; Вечер в лагере. Перевела К. Арсеньева; Футбольное сражение. Перевел Л. Тоом; Охотник Ясь; Два рыбака; Кавалерист; Алиде одевается самостоятельно; Привет летчику; После весенней грозы; Беседа с каменщиком; Водители во дворе; Когда ты станешь большим",35,,,ПарвеР,NA
"Паренаго, П. П.",1,ПаренагоПП,-,"Астрономические обсерватории",1,,,ПаренагоП,ПаренагоПП
"Парийыги, Ю.",64,ПарийыгиЮ,-,"Ребята из батрацкого поселка; Когда мы были маленькими; Из жизни юнги; Хлеб; ПЕРВЫЙ ДЕНЬ; На работе; В гавани; Кража; РЕБЯТА ИЗ БАТРАЦКОГО ПОСЕЛКА; Батрацкий поселок; Яксу; Старинные сказки; Юрьев день; Кусти Калле; Месть; Иозеп Мятлик; ШУСТРАЯ ДЕТВОРА; Радио; Мастерицы; Магазин; Удалые пчеловоды; Пожар; Половодье; Тону!; Когда отец дарил книжки; Мы занимаемся домашними делами; Я учу теленка; Айно и Леэни остаются дома одни; Анду мастерит радио; Сассь-Газетчик покупает коньки; Путешествие на льдине; Как мы стали музыкантами; Рассказы: На работе; Батрацкий поселок Яксу; В Сибирь; Йозеп Мятлик; Из жизни книги: Повесть; Вечерние рассказы при свете лучины; Хлеб для гостей; Голод; Хлеб из крошек; Истинное счастье; Чужое золото; Бабушкин сказ о Лауритсе; Счастье, найденное в колодце; Как парень в мужьях у русалки побывал; Как батрак тайну русалок узнал; Батрак-водяной; Мужик, который дрова воровал, и лесной дух; О том, как лесной дух юношу наказал; Король змей; Змеиное ожерелье; Как мужик в змеиной пещере счастье нашел; Сказка о му. жике, который понимал язык змей; Котел с деньгами; Подземный город; Хозяйская дочь и сиротка; Бобылья дочь и хозяйская дочь; Волшебный камень; Три брата; Семь братьев и семь сестер; Мальчик с Пальчик",62,,,ПарийыгиЮ,NA
"Парини, В.",1,ПариниВ,-,"Рассказы об удивительном",1,,,ПариниВ,NA
"Парка, Г.",1,ПаркаГ,m,"Кьодино в цирке",1,,,ПаркаГ,NA
"Парка, Габриэлла",2,ПаркаГ,m,"Приключения Гвоздика; Приключения Кьодино-Винтика",2,,,ПаркаГ,NA
"Паркер, Д.",15,ПаркерД,m,"Секрет забастовки; Э; Кэй — Секрет забастовки; Д; Паркер — Два флага; Кэй — Мы, ребята из переулка; Г; Потамкин — Забастовщики с Горлышка; Кэй — Красные галстуки в долине Редкой встречи; Кэй — Хлеб; М; Голд — Тоска по долгу",12,,,ПаркерД,NA
"Пармузин, Борис",31,ПармузинБ,m,"Рассказы новых и древних дорог; Весенняя земля; Р ассказ о тревожном годе; В узбекской столице; Локоть и экватор; Аплодисменты; Удивительное богатство; Золотые руки; Вода и огонь; Легенда о Фархаде; В городе поэтов; Жизнь, отданная песне; Абдулла Набиев; Ковры из цветов; Андижан; Ленинск; Ж емчужина; В кишлаке; Древний и мб- 4 лодой; Золото из Янтака; Чудеса Бухары; Побратимы; Рождение долины; Огни Термеза; Солнечная земля; Дом атеиста; Плоды Хорезма; Памятник; В центре песков; Цветы; Под крылом самолета; Город Дружбы",32,,,ПармузинБ,NA
"Парнов, Е.",4,ПарновЕИ,m,"Ярмарка теней; Возвратите любовь; Последняя дверь; Снежок",4,,,ПарновЕ,NA
"Парнов, Е. И.",2,ПарновЕИ,m,"Драконы грома; Третий глаз Шивы",2,,,ПарновЕ,ПарновЕИ
"Парнов, Еремей",14,ПарновЕИ,m,"Зеленая креветка; Звезда в тумане (Улугбек); Ларец Марии Медичи; Проблема 92; Третий глаз Шивы; Бунт тридцати триллионов; (Повесть); РАССКАЗЫ; Приговорен к наслаждению; Орфей и Эвридика; Идеальный ариец; «Желтые очи»; Доатомное состояние; Конга-мать",14,,,ПарновЕ,NA
"Парс, X.",2,ПарсX,-,"Оператор Кыпс в стране грибов; Оператор Кыпс в ягодном лесу",2,,,ПарсX,NA
"Парфенов, Виталий",52,ПарфеновВ,m,"Мишка-мореход; Шторм; Медвежонок; На пароходе; На    радиостанции; Доктор; В тропиках; Как Мишка меня из воды вытащил; В тумане; Рыбная ловля; Шпион; Прощай, Мишка!; На радиостанции; Тревога; Картошка; Наш кок; На паруснике; У причала; Я бредил морем с детских лет...; Парад; Нет не зря я оставил...; Перед берегом; Возвращение; Говорят, что в море очень трудно...; Утро; Бывает, в бурную погоду...; Вечер в океане; Я люблю один ходить по взморью...; Родине; Трубка; Посмотри, какие звезды...; В порту; Я распахнул окно; SOS. Весна; Гавань спит. Застыли боевые...; У дальномера; Гудок теплохода протяжен и звонок...; Расстрел матросов; В море; Перед походом; Памяти товарищей; За окном белым бело...; На приколе; Север; Песня",45,,,ПарфеновВ,NA
"Парфенов, Лев.",1,ПарфеновЛ,m,"Неделя приключений",1,,,ПарфеновЛ,NA
"Пархитько, Всеволод",1,ПархитькоВ,m,"Победители океана",1,,,ПархитькоВ,NA
"Пархоменко, Н. Н.",1,ПархоменкоНН,-,"Мастера хлебопечения",1,,,ПархоменкоН,ПархоменкоНН
"Пархомов, М.",2,ПархомовМ,m,"Ночная вахта; Хороший парень",2,,,ПархомовМ,NA
"Пархомов, Михаил",10,ПархомовМ,m,"Выше голову, сынок; Хороший парень; Выше голову, сынок! Самый трудный экземпляр; Всего несколько слов; Выпускной вечер; Свидетель; Пять копеек сдачи; Резцы; Обида; Мастер леса; Шуга",11,,,ПархомовМ,NA
"Паршин, Александр",8,ПаршинА,m,"Илюшка-чекист; Обман; Сережка-катун; Октябрьская купель; Тайна; Месть; Засада в камышах; Почетный приказ",8,,,ПаршинА,NA
"Паршинский, А.",1,ПаршинскийА,m,"Как работать юным безбожникам",1,,,ПаршинскийА,NA
"Паршков, В.",1,ПаршковВИ,m,"В горах Ала-Тоо",1,,,ПаршковВ,NA
"Паршков, В. И.",2,ПаршковВИ,m,"Тамга; Пулеметчики",2,,,ПаршковВ,ПаршковВИ
"Паршков, Василий",6,ПаршковВИ,m,"Боевые дни; Проводник; Пулеметчики; Нарынское дело; Друзья; На пруду; Случай на пасеке",7,,,ПаршковВ,NA
"Парыгина, Н.",6,ПарыгинаНД,f,"Внук шахтера; Что сердцу дорого; Не все впереди; Коля Рагозин; Борис и Алла Таранины; Эдик Нилов; Инна Гаврилина",7,,,ПарыгинаН,NA
"Парыгина, Н. Д.",1,ПарыгинаНД,f,"Мы с братом",1,,,ПарыгинаН,ПарыгинаНД
"Парыгина, Наталья",1,ПарыгинаНД,f,"Я вернусь!—Неудачные каникулы",1,,,ПарыгинаН,NA
"Пасек, П.",1,ПасекП,-,"ПиксаЯ. Потерянная фотография",1,,,ПасекП,NA
"Пасекунов, В.",2,ПасекуновВ,m,"Кот-пограничник; Радуги детства",2,,,ПасекуновВ,NA
"Паславский, А. С.",1,ПаславскийАС,m,"Природа, фантазия, творчество",1,,,ПаславскийА,ПаславскийАС
"Пасман, Б. М.",1,ПасманБМ,m,"Приключения листика",1,,,ПасманБ,ПасманБМ
"Пасман, Борис",2,ПасманБМ,m,"Мой цех; Почему ушли игрушки",2,,,ПасманБ,NA
"Пассар, А.",2,ПассарА,m,"Кто самый хитрый",1,,,ПассарА,NA
"Пассар, Андрей",8,ПассарА,m,"Кто хитрее? Нанайская сказка; Трехлапый волк; РАССКАЗЫ; Лесной Ш айтан; Луна и число; ОЧЕРКИ; Мэргэн — охотник; Рыбий доктор",8,,,ПассарА,NA
"Пассек, А. Н.",1,ПассекАН,-,"Постройка одного туннеля",1,,,ПассекА,ПассекАН
"Пастернак, Б. Л.",2,ПастернакБЛ,m,"Зверинец; Карусель",2,,,ПастернакБ,ПастернакБЛ
"Пастернак, Б.-Л.",1,ПастернакБЛ,m,Стихотворения,1,,,ПастернакБ,NA
"Пастухов, П.",2,ПастуховП,m,"На траву, на солнышко; Про синиц да про всяких птиц",2,,,ПастуховП,NA
"Пастушенко, Михаил",1,ПастушенкоМ,m,"Веселый самовар",1,,,ПастушенкоМ,NA
"Пасынков, Б.",1,ПасынковБ,m,Друзья,1,,,ПасынковБ,NA
"Пасынков, Л.",3,ПасынковЛ,m,"Молодые рыбаки; Мужицкий памятник; Ханук и Меджид",3,,,ПасынковЛ,NA
"Пасько, С.",81,ПаськоСД,m,"В лесу и дома; Смелый; Для детей про птиц и зверей; Лесными тропами; Под зеленым шатром; Дальние дороги; Потапка; Хитрый медведь; Миша-рыболов; В горах; В лесной сторожке; Встреча в лесу; Барсуки; Храбрая мать; Аисты; Галка; Грустная история; Наш щегол; Алмаз; Короткие встречи; Редкий случай; Башня мира; Камчатская легенда; Грачонок; Фиал. ка; Зорька; Сеттер; Дома; Цесарки; Караси; Павлуша-пастушок; В метель. (По рассказу лесника.) — Показалось..; Неприятный случай; Погоня; Перепелята; На Рижском взморье; Неудачник; Враги; Старый ворон; Белка; Озорной олень; Уссурийский енот; В метель; Г алки; От автора. ТАМ, ГДЕ ВОСХОДИТ СОЛНЦЕ. Поездка за бухту; В верховьях Пиньчёвой; В ГЛУБИНЕ КОДР. Первая зелень; В лесном обходе; Шутка Никандрыча; Аисты Степана; Старый во рон; Показалось..; Кобчик; Два друга; Обыкновенное дело; Поединок; В походе; Ванятка, где ты? Человек все может; Однажды вечером; В плавнях; Суровая наука; На старом Днестре; Лесная повесть",63,,,ПаськоС,NA
"Пасько, С. Д.",39,ПаськоСД,m,"Для детей про птиц и зверей; СЕВЕР ДАЛЬНИЙ: В лесной сторожке; Озорной олень; Смелый; Аборигены; Родник; Волшебный куст; На охоте; НА ДНЕСТРЕ...: Камышовый кот; В заказнике; Иринкина уха; ДЛЯ ДЕТЕЙ ПРО ПТИЦ И ЗВЕРЕЙ: В науку; Пуховые шарики; Крылатые странники; Тарасово море; Перепелята; Говорящие грибы; Косуленок; Всем миром; У костра; Грустная история; Рогач; Барсуки; В метель: (по рассказу лесника); Ошибка; Эксперимент; Рассказ плотника; Галки; Фиалка; Вот и не верь; Ливень; Открытие; Птичий язык; Признательность; Неприятный случай; Мужество; Грачонок; Старый знакомый; На рассвете; Хитрецы",40,,,ПаськоС,ПаськоСД
"Пасько, Семен",119,ПаськоСД,m,"Моя летняя тетрадь; Рассказы; Степана; Суровая наука; Дальние дороги; Иринкина уха; Обыкновенное дело; Озорной олень; Соколиная охота; Туришка; Хитрецы; КРИНИЦА. Криница; Хозяин; На заре; Живоглот; Шутка Никандрыча; Строгая комиссия; Баян; Роман. НА ЗВЕРОВОЙ ТРОПЕ. Симулянт; Грустная история; Галки; Малыш-путешественник; Коллективная оборона; Рогач; Хитрец; Тень и дуб; Казара-ги; На зверовой тропе; Чайки; Грачонок; Фиалка; Хитрая коза; - Павлуша-пастушок; Шутка Никандрыча,— Кобчик; Конфуз; Неприятный случай; Ночь на засидке; Перепелята; Каза-раги; Два друга; Смелый; Потапка; Редкий случай; Поединок; В походе; Ванятка, где ты? Человек все может; Однажды вечером; В плавнях; На старом Днестре; Лесная повесть; На лесном кордоне; Ванятка, где ты? Обыкновенное дело; ДЕЛА ТАЕЖНЫЕ; В верховьях Пиничевой; Белка; НА СТАРОМ ДНЕСТРЕ; Роман; ПОВЕСТИ; Сухое лето; БЫ Л И И СКАЗКИ ЛЕСА; Рассказ шофера; Косуленок; Крикун; Миалка и Шоарек; Чудак; Сова и ястреб; Урок; Бесценный зверь; (Сказка); Мишутки; На опушке; Ошибка; Благодарность; Провокаторы; Обида; Озорник; Лакомка; Акробаты; Ферапонт   Ферапонтыч; Расплата; Привязанность; На охоте; Житейская мудрость; Горькая память; На светлом ключе; На облаве; Ход конем; Домашние дела; В дороге и у домашнего порога: Повесть; ЛЕПЕСТКИ НА ЛАДОНИ: Рассказы: В краю далеком; Лахтак; Открытие; Признательность; Рассказ плотника; Ку-ку!; Мужество; Птичий язык; На рассвете; Вот и не верь...; Память предков",100,,,ПаськоС,NA
"Патерсон, К.",1,ПатерсонК,-,"Великолепная Гилли Хопкинс",1,,,ПатерсонК,NA
"Патов, Н.",77,ПатовН,m,"Маленьким друзьям; Золотые зерна; В одном строю; Яблони; Замечательный народ; Ласточки; Родные звезды; Пряник; Трусиха; Мальчики; За грибами; В трамвае; Кошелек; Ссора; Подарки; Кукла; Колоски; Андрейка; Гвардеец; В Старой Демидовке; Пленный; Маленьким друзьям. Пряник; Ягоды; Динго; Золотые зерна. Андрейка; В Старой Де-мидовке; В ОДНОМ СТРОЮ. Андрейка; В старой Демидовке. ВО ИМЯ РОДИНЫ Яблони; Голубь; Воробьиное озеро. ЗА МИР. Рольф; Надпись; В одном городе; На восток; В старой Демидовке; У страха глаза велики,— Голубь; Воробьиное озеро; Мурка; Электромонтер; Друзья; На пустыре; Наташа; Белочка; Честное слово. В ДНИ ВОЙНЫ. Гвардеец; Брат; Вместе; Гость из Вены; Сталинградцы. ДЕТИ МИРА. У берегов Малайи; В горах; Рольф; На Фридрихштрассе; Джек; Рыболов",52,,,ПатовН,NA
"Патов, Николай",21,ПатовН,m,"Вместе со всеми; Воробьиное озеро; Предисловие; Рольф; Надпись; Малыш; На Фридрихштрассе; Сорока; У страха глаза велики; Ласточки; Джек; Птичница; Маша; • Г олубь; Мурка; Голубь",16,,,ПатовН,NA
"Патон, Б. Е.",1,ПатонБЕ,-,"Огонь сшивает металл",1,,,ПатонБ,ПатонБЕ
"Патрик, Вячеслав",12,ПатрикВ,m,"Мальчик и гора; Тополиный пух; Первый букет; Возвращение петуха; Синоптик; Мойщики машин; Тревожный рейс; Косматый разбойник; Руслан; Загадка; Память; Южный ветер",12,,,ПатрикВ,NA
"Патрик, Евгений",5,ПатрикЕ,m,"Золотой мальчик; Песенка; Новые старинки; Облачко мое; Хозяйка горы Медной",5,,,ПатрикЕ,NA
"Патрикеев, А.",2,ПатрикеевА,m,"Ледовый футбол; Зарядка на всю жизнь",2,,,ПатрикеевА,NA
"Паттерсон, Джемс",1,ПаттерсонД,m,"В какой одежде ходили прежде",1,,,ПаттерсонД,NA
"Паукш, X.",1,ПаукшX,-,"Три ведьминых тайны",1,,,ПаукшX,NA
"Паули, Е.",1,ПаулиЕ,-,"Весенние экскурсии",1,,,ПаулиЕ,NA
"Паустовский, К.",196,ПаустовскийКГ,m,"Жильцы старого дома; К""и-ворюга; Летние дни; Монисто; Рассказы; Степная гроза; Судьба Шарля Лансевиля; Далекие годы; Мещорская сторона; Повести и рассказы; Повесть о лесах; Рождение моря; Кот-ворюга; Стальное колечко; Золотой линь; Квакша; Повести; Растрепанный воробей; Дремучий медведь; Похождения жука-носорога; Теплый хлеб; Барсучий нос; К от-ворюга; Последний чорт; Резиновая лодка; Заячьи лапы; Сивый мерин; Подарок; Прощание с летом; Музыка Верди; Колотый сахар —Доблесть; Потерянный день; Парусный мастер; Поводырь —Местечко Кобрин; Озерный фронт; Кофейная гавань; Ценный груз; Тост; Соранг; Вторая родина; Австралиец со станции Пилево — Медные доски; Ленька с Малого озера; Дорожные разговоры; Робкое сердце; Старая черепаха; Бакенщик; Приказ по военной школе; Спор в вагоне; Правая рука; Снег; Старый сад; Стеклянные бусы; Кот Ворюга; Прощанье с летом; Краткая биографическая справка об авторе; Кара-Бугаз; Колхида; Северная повесть; Рассказ ы. Тост; Старый челн; Подпасок; Воронежское лето; Последний черт; Последний герой; Собрание чудес; Коротко о себе; Бакенщик. Правая рука. Подпасок. Поводырь. Доблесть. Толя-капитан. Записки Ивана Малявина. Ленька с Малого озера. Подарок. Заботливый цветок. Воронежское лето. Желтый свет. Прощание с летом. Жильцы старого дома. Кот-ворюга. Заячьи лапы. Последний черт. Барсучий нос. Дремучий медведь. Сивый мерин. Растрепанный воробей. Квакша. Золотой линь. Корзина с еловыми шишками. Сказочник Редиард Киплинг; Синий мерин; ПОВЕСТИ; Кара-Бу-газ; Мещерская сторона; РАССКАЗЫ; СКАЗКИ; Кот-Ворюга; К; Паустовский; Кара- Бугаз; М ихайловские рощи; Стекольный мастер; Бриз; Белая радуга; Бабуш ­ кин сад; Телеграмма; М аша; Астаповские пруды; Шиповник; Разливы рек; Таинственный сундук; С казочник; (Христиан Андерсен); Уснувший мальчик; Ильинский омут; (Солдатская сказка); Артельные мужички; Орест Кипренский; И саак Левитан; Корзина с еловыми шишками; С тарый повар; П охождения жука-носорога; ПО",100,,,ПаустовскийК,NA
"Паустовский, К. Г.",81,ПаустовскийКГ,m,"Записки Василия Седых; Ценный груз; Великан на Каме; Исаак Левитан. (Русский художник-пейзажист. (1861—1900.) М; Заячьи лапы; Кара-Ада; Кара-Бугаз; Колхида; Летние дни; Мещорская сторона; Орест Кипренский; Рассказы; Северные рассказы; Созвездие Гончих Псов; Судьба Шарля Лонсевиля; Черное море; Барсучий нос; Квакша; Поэтическое излучение; Стальное колечко; Теплый хлеб; Заботливый цветок; Золотой линь; Кот-ворюга; Мещерская сторона; Повести; Разливы рек; Растрепанный воробей; Избранные произведения; Золотая роза; Колотый сахар; Михайловские рощи; Повесть о лесах; Подарок; Старик в потертой шинели; Последний чорт; Резиновая лодка; Кот-ворюга, Последний чорт; Доблесть; Кофейная гавань; Разговор во время ливня; Черные сети; Судебный заговор; Тост; Жара; (Записки лейтенанта Жиро.)",46,,,ПаустовскийК,ПаустовскийКГ
"Паустовский, Константин",117,ПаустовскийКГ,m,"Далекие годы; Жильцы старого дома; Квакша; Кот-ворюга; Барсучий нос; Повести; Похождения жука-носорога; Рассказы и повести; Стальное колечко; Артельные мужички; Золотая роза; Летние дни; Разливы рек; Мещерская сторона; Струна; Теплый хлеб; Кот-Ворюга; Последний черт; Золотой линь; Резиновая лодка; Заячьи лапы; Сивый мерин; Подарок; Северная повесть; Повесть о лесах; Рассказы. Стекольный мастер; Кружевница Настя; Снег; Бакенщик; Телеграмма; Корзина с еловыми шишками; Приточная трава; Уснувший мальчик; Песчинка; Наедине с осенью; Ильинский омут; Вилла Боргезе. Повести. Мещерская сторона; Кара-Бугаз; Собрание чудес; Прощание с летом; Заботливый цветок; Теплый хлеб: (Сказка); Стальное колечко: (Сказка); Пометь; МАЛЕНЬКИЕ ПОВЕСТИ: Орест Кипренский; Исаак Левита и; Тарас Шевченко; РАССКАЗЫ: Михайловские рощи; Потерянный день; Стекольный мастер; Стеклянные бусы; Бриз; Белая радуга, Бабушкин сад; Маша; Астапооские пруды; Шиповник, Таинственный сундук; Сказочник: (Христиан Андерсен); СКАЗКИ: Теплый хлеб; Похождения жука-иосорога: (Солдатская сказка); Дремучий медведь; Растрепанный воробей; Мещерская сторона: Повесть; РАССКАЗЫ: Барсучий нос; Прощание с летом, Подпасок; СКАЗКИ: Теплый хлеб, Похождения жука-носорога: (Солдат. сказка); Стальное колечко, Растрепанный воробей; см; ДЛ; 72—73, № 1074; Старый повар; Скрипучие половицы: Глава из «Повести о лесах»; Беглые встречи",72,,,ПаустовскийК,NA
"Паутин, Павел",1,ПаутинП,m,"Дом с закрытыми ставнями",1,,,ПаутинП,NA
"Паушкин, Г.",15,ПаушкинГ,m,"Алешкин голубь; Дозорные тропы; На зорьке; Птицы улетели; Сашок; ■ Как сома делили; Застава; Иван Шатров; Болотные огни; Дымок от папиросы; На лимане; Последняя встреча; На острове; Санчарский перевал; В Рионской долине; Клава",16,,,ПаушкинГ,NA
"Паушкин, Геннадий",12,ПаушкинГ,m,"Данинка; Вернитесь, аисты; Голос отцов; Рая; В степи; Соловей; Крошка — старший телефонист; Беккеровский рояль; Летят! Данинка; Проводы зимы; Михалыч; Ж или-бы ли..; Скворцы и трясогузки",13,,,ПаушкинГ,NA
"Пахомов, А.",4,ПахомовАФ,m,"Лето; Строим; В нашем городе; Машенька",4,1900,1973,ПахомовА,NA
"Пахомов, А. Ф.",1,ПахомовАФ,m,"Про свою работу в детской книге",1,1900,1973,ПахомовА,ПахомовАФ
"Пахомовский, В.",1,ПахомовскийВ,m,"Универсальный деревообделочный станок",1,,,ПахомовскийВ,NA
"Пациенко, Геннадий",1,ПациенкоГ,m,"Колесо иа березе",1,,,ПациенкоГ,NA
"Пашаев, Мир Джалал",8,ПашаевМ,m,"Радость; Киров. (Отрывок из романа «Мои ровесники»),— Тамаша; Наша книга; Сын; Страх; Первая грамота; Г ордость; Агил",8,,,ПашаевМ,NA
"Пашалишвили, С.",1,ПашалишвилиС,-,"Рапорт Ахмеда",1,,,ПашалишвилиС,NA
"Пашек, Мирко",2,ПашекМ,-,"Приключения на Безымянной реке; Голубой «Леопард»",2,,,ПашекМ,NA
